,col_num,name,owned
57,3722.0,Shell Pink - Medium,0
59,3727.0,Antique Mauve - Light,0
60,3731.0,Dusty Rose - Very Dark,0
61,3733.0,Dusty Rose,0
64,3746.0,Blue Violet - Dark,0
65,3747.0,Blue Violet - Very Light,0
0,3752,Antique Blue - Very Light,0
1,3753,Antique Blue - Ultra Very Light,0
3,3756,Baby Blue - Light,0
5,3761,Sky Blue - Light,0
6,3765,Peacock Blue - Very Dark,0
10,3771,Peach - Dark,0
11,3772,Desert Sand - Very Dark,0
12,3773*,Desert Sand - Medium,0
14,3776,Mahogany - Light,0
16,3778,Terra Cotta - Light,0
17,3779,Terra Cotta - Ultra Very Light,0
18,3781,Mocha Brown - Dark,0
19,3782,Mocha Brown - Light,0
21,3790,Beige Gray - Ultra Dark,0
23,3801,Melon - Very Dark,0
24,3802,Antique Mauve - Very Dark,0
26,3804,Cyclamen Pink - Dark,0
27,3805,Cyclamen Pink,0
28,3806,Cyclamen Pink - Light,0
29,3807,Cornflower Blue,0
30,3808,Turquoise - Ultra Very Dark,0
31,3809,Turquoise - Very Dark,0
34,3812,Seagreen - Very Dark,0
35,3813,Blue Green - Light,0
36,3814,Aquamarine,0
39,3817,Celadon Green - Light,0
40,3818,Emerald Green - Ultra Very Dark,0
41,3819,Moss Green - Light,0
46,3824,Apricot - Light,0
47,3825,Pumpkin - Pale,0
48,3826,Golden Brown,0
49,3827,Golden Brown - Pale,0
50,3828,Hazelnut Brown,0
52,3830,Terra Cotta,0
53,3831,Raspberry - Dark,0
54,3832,Raspberry - Medium,0
55,3833,Raspberry - Light,0
56,3834,Grape - Dark,0
57,3835,Grape - Medium,0
58,3836,Grape - Light,0
59,3837,Lavender - Ultra Dark,0
62,3840,Lavender Blue - Light,0
64,3842,Wedgewood - Dark,0
67,* Hard to find threads,,0
0,3845,Bright Turquoise - Medium,0
1,3846,Bright Turquoise - Light,0
3,3848,Teal Green - Medium,0
5,3850,Bright Green - Dark,0
6,3851,Bright Green - Light,0
8,3853,Autumn Gold - Dark,0
9,3854,Autumn Gold - Medium,0
11,3856,Mahogany - Ultra Very Light,0
12,3857,Rosewood - Dark,0
13,3858,Rosewood - Medium,0
14,3859,Rosewood - Light,0
15,3860,Cocoa,0
16,3861,Cocoa - Light,0
18,3863,Mocha Beige - Medium,0
19,3864,Mocha Beige - Light,0
22,3880*,Shell Pink - Light,0
23,3881*,Green - Light,0
24,3882*,Beige Brown - Dark,0
25,3883*,Orange Spice - Light,0
26,3884*,Ash Gray - Very Light,0
27,3885*,Baby Blue - Very Dark,0
28,3886*,Mauve - Very Dark,0
29,3887*,Lavender - Very Dark,0
30,3888*,Antique Violet - Dark,0
31,3889*,Lemon - Light,0
32,3890*,Peacock Blue - Light,0
33,3891*,Electric Blue - Dark,0
34,3892*,Tangerine,0
35,3893*,Beige Brown - Ultra Very Light,0
36,3894*,Parrot Green - Light,0
37,3895*,Beaver Gray - Dark,0
38,48,Variegated - Baby Pink,0
39,51,Variegated - Burnt Orange,0
40,52,Variegated - Violet,0
41,53,Variegated - Steel Grey,0
42,67,Variegated - Baby Blue,0
43,69,Variegated - Terra Cotta,0
44,90,Variegated - Yellow,0
45,92,Variegated - Avocado,0
46,93,Variegated - Blue Haze,0
47,94,Variegated - Khaki Green,0
48,99,Variegated - Mauve,0
49,105,Variegated - Tan/Brown,0
50,106,Variegated - Coral,0
51,107,Variegated - Carnation,0
52,111,Variegated - Mustard,0
53,115,Variegated - Garnet,0
54,121,Variegated - Delft Blue,0
55,125,Variegated - Seafoam Green,0
56,E5200,Metallic - White,0
57,E130,Metallic - Gemstones,0
58,E131*,Metallic - Holiday Sparkle,0
59,E133*,Metallic - Midnight Madness,0
60,E135,Metallic - Golden Dawn,0
61,E136*,Metallic - Emerald Isle,0
62,E138*,Metallic - Caribbean Ripples,0
63,E140*,Metallic - Carnival Fun,0
64,E141*,Metallic - All that Jazz,0
65,E144*,Metallic - Majestic Metals,0
66,E146*,Metallic - Tropical Delight,0
67,* Hard to find threads,,0
0,E148*,Metallic - Purple Essence,0
1,E150*,Metallic - Deep Water Blue,0
2,E152*,Metallic - Pink Shimmer,0
3,E154*,Metallic - Opalescent Rays,0
4,E155,Metallic - Amethyst,0
5,E168,Metallic - Silver,0
6,E211,Metallic - Lilac,0
7,E301,Metallic - Copper,0
8,E310,Metallic - Ebony,0
9,E316,Metallic - Pink Amethyst,0
10,E317,Metallic - Titanium,0
11,E321,Metallic - Red Ruby,0
12,E334,Metallic - Blue Topaz,0
13,E415,Metallic - Pewter,0
14,E436,Metallic - Golden Oak,0
15,E677,Metallic - White Gold,0
16,E699,Metallic - Green Emerald,0
17,E703,Metallic - Light Green Emerald,0
18,E718,Metallic - Pink Garnet,0
19,E746,Metallic - Cream,0
20,E747,Metallic - Baby Blue,0
21,E815,Metallic - Dark Red Ruby,0
22,E818,Metallic - Soft Pink,0
23,E825,Metallic - Blue Sapphire,0
24,E898,Metallic - Dark Oak,0
25,E966,Metallic - Lime,0
26,E967,Metallic - Soft Peach,0
27,E3685,Metallic - Rosewood,0
28,E3747,Metallic - Sky Blue,0
29,E3821,Metallic - Light Gold,0
30,E3837,Metallic - Purple Ruby,0
31,E3843,Metallic - Light Blue Sapphire,0
32,E3849,Metallic - Aquamarine Blue,0
33,E3852,Metallic - Dark Gold,0
34,E980,Neon - Neon Yellow,0
35,E990,Neon - Neon Green,0
36,E985*,Fluorescents - Lemon Zest,0
37,E987*,Fluorescents - Key Lime Splash,0
38,E995*,Fluorescents - Melon Blast,0
39,E1010*,Fluorescents - Tropical Pink,0
40,E1020*,Fluorescents - Bright Orange,0
41,E1024*,Fluorescents - Tangerine Zing,0
42,E1026*,Fluorescents - Blueberry Blast,0
43,E1040*,Fluorescents - Bright Blue,0
44,E1050*,Fluorescents - Luminous Lavender,0
45,E1055*,Fluorescents - Raspberry Rush,0
